address,city,country,longitude,name,province_nameChanged
9777 Wayne Rd,Romulus,US,-83.38503,McDonald's,MI
605 N Highway 190,Covington,US,-90.08357,Burger King,LA
316 Philadelphia St,Covington,US,-84.519601,Burger King,KY
428 E 13th St,Crete,US,-96.957562,Burger King,NE
1137 N Main St,Crown Point,US,-87.364454,Burger King,IN
3092 Ross Clark Cir,Dothan,US,-85.43136,Burger King,AL
191 12th Ave NE,Norman,US,-97.423433,Burger King,OK
2561 W Main St,Norristown,US,-75.389151,Burger King,PA
4371 Portage St NW,North Canton,US,-81.42912,Burger King,OH
535 Indian Boundary Rd,Chesterton,US,-87.04294,Burger King,IN
1130 N Main St,Monmouth,US,-90.64808,Burger King,IL
730 N Walnut St,Mount Carmel,US,-87.76726,Burger King,IL
915 E Main St,Mount Joy,US,-76.48087,Burger King,PA
1275 Hamilton Lebanon Rd E,Monroe,US,-84.38155,Burger King,OH
1701 Douglas Ave,Brewton,US,-87.06881,Burger King,AL
165 Pearl St,Braintree,US,-70.99957,Burger King,MA
955 W Hermosa St,Lindsay,US,-119.10427,Burger King,CA
46402 Middle Ridge Rd,Amherst,US,-82.223,Burger King,OH
1818 Quintard Ave,Anniston,US,-85.8273,Burger King,AL
6908 Kimball Dr,Gig Harbor,US,-122.5881,Burger King,WA
115 Golden Isles Plaza,Brunswick,US,-81.49214,Burger King,GA
1816 Patrick Dr,Burlington,US,-84.695796,Burger King,KY
14251 Nicollet Ave,Burnsville,US,-93.27912,Burger King,MN
5725 Heisley Rd,Mentor,US,-81.29964,Burger King,OH
544 Main St E,Menomonie,US,-91.92373,Burger King,WI
2820 Pine St,Arkadelphia,US,-93.084261,Burger King,AR
1840 S Ohio St,Martinsville,US,-86.42362,Burger King,IN
20318 77th Ave NE,Arlington,US,-122.126926,Burger King,WA
1101 N Beale Rd,Marysville,US,-121.5761,Burger King,CA
590 Roosevelt Rd,Glen Ellyn,US,-88.0634,Burger King,IL
122 Lake Shore Dr E,Ashland,US,-90.88282,Burger King,WI
7209 N 23rd St,Mcallen,US,-98.23499,Burger King,TX
222 Hammond Dr,Atlanta,US,-84.3798,Burger King,GA
1985 E Brooks Rd,Memphis,US,-89.99767,Burger King,TN
1784 Clarkson Rd,Chesterfield,US,-90.56784,Noodles & Company,MO
217 Washington Ave,Endicott,US,-76.04791,Wendy's,NY
170 5Th Ave,Owego,US,-76.2528,Wendy's,NY
101 McCauley Dr,Uhrichsville,US,-81.3488,McDonald's,OH
23400 Telegraph Rd,Flat Rock,US,-83.268372,Burger King,MI
515 East Main Street,Biscoe,US,-79.7701,Bojangles' Famous Chicken 'n Biscuits,NC
32704 Grand River Ave,Farmington,US,-83.369866,Burger King,MI
235 W 5th St,Eureka,US,-90.631156,Burger King,MO
360 Blue Lakes Blvd N,Twin Falls,US,-114.46019,Burger King,ID
171 Iron Point Rd,Folsom,US,-121.19069,Burger King,CA
700 Mcmeans Ave,Bay Minette,US,-87.787837,Burger King,AL
501 N 6th St,Beatrice,US,-96.74727,Burger King,NE
3999 N US Highway 31 S,Traverse City,US,-85.64093,Burger King,MI
2 Front St,Troy,US,-90.97617,Burger King,MO
4 Warrensville Rd,Bedford,US,-81.53653,Burger King,OH
1800 SW 10th Ave,Topeka,US,-95.69946,Burger King,KS
45 Fairfield Ave,Bellevue,US,-84.487981,Burger King,KY
701 W Riverside Dr,Parker,US,-114.28642,Burger King,AZ
2901 Court St,Pekin,US,-89.60781,Burger King,IL
1030 N Tuscarawas Ave,Dover,US,-81.489,KFC,OH
1495 Blowing Rock Rd,Boone,US,-81.66207,Arby's,NC
1016 Blowing Rock Rd,Boone,US,-81.6694,Wendy's,NC
1457 South St,Wheatland,US,-104.96131,Taco John's,WY
6301 Youree Dr,Shreveport,US,-93.72139,Burger King,LA
118 E Bert Kouns Industrial Loop,Shreveport,US,-93.74858,Burger King,LA
1093 Blowing Rock Rd,Boone,US,-81.66803,Taco Bell,NC
610 Blowing Rock Rd,Boone,US,-81.6741,Hardee's,NC
1064 Blowing Rock,Boone,US,-81.668966,Bojangles' Famous Chicken 'n Biscuits,NC
896 Blowing Rock Rd,Boone,US,-81.67109,McDonald's,NC
211 E Milwaukee Ave,Storm Lake,US,-95.19806,Taco John's,IA
1213 Gilmore Ave,Winona,US,-91.66883,Taco John's,MN
718 Canton Rd NW,Carrollton,US,-81.09161,McDonald's,OH
17 E 20th St,Dubuque,US,-90.66971,Taco John's,IA
2949 5th Ave S,Fort Dodge,US,-94.15632,Taco John's,IA
225 W 4th Ave,Holdrege,US,-99.38308,Taco John's,NE
729 S Burlington Ave,Hastings,US,-98.3921,Taco John's,NE
1103 N Jefferson Way,Indianola,US,-93.55883,Taco John's,IA
1211 Jackson St,La Crosse,US,-91.239416,Taco John's,WI
401 Erie Blvd W,Rome,US,-75.4652,Wendy's,NY
701 Highway 12 E,Starkville,US,-88.8334,Chick-Fil-A,AL
1434 E 10th St,Jeffersonville,US,-85.729192,Burger King,IN
101 N Range Line Rd,Joplin,US,-94.4743,Burger King,MO
1911 Armour Rd,Kansas City,US,-94.55796,Burger King,MO
4400 SE 29th St,Oklahoma City,US,-97.438792,Burger King,OK
1007 Broadway St,Delhi,US,-91.49281,Burger King,LA
7150 Leetsdale Dr Unit H,Denver,US,-104.90427,Burger King,CO
3000 E University Ave,Des Moines,US,-93.558038,Burger King,IA
4801 NE 14th St,Des Moines,US,-93.600072,Burger King,IA
6618 19th St W,Tacoma,US,-122.525309,Taco Time,WA
807 Highway South,Page,US,-111.48161,Burger King,AZ
13840 Grove Dr,Osseo,US,-93.4552,Burger King,MN
215 N Davis Ave,Cleveland,US,-90.71591,Burger King,MS
855 Oro Dam Blvd E,Oroville,US,-121.5655,Burger King,CA
1003 Highway 21 South,Oxford,US,-85.83377,Burger King,AL
2944 W Parrish Ave,Owensboro,US,-87.149467,Burger King,KY
4958 State Route 23,Oneonta,US,-75.05,McDonald's,NY
547 W Commerce St,Brownwood,US,-98.985878,Taco Bell,TX
235 Highway 47 E,Troy,US,-90.96775,Taco Bell,MO
600 S Gloster St,Tupelo,US,-88.716753,Taco Bell,MS
2700 Geer Rd,Turlock,US,-120.84834,Taco Bell,CA
2807 Cleveland Blvd,Caldwell,US,-116.6672,Taco Bell,ID
1199 N Saint Augustine Rd,Valdosta,US,-83.32427,Taco Bell,GA
135 S Chauncey Ave Ste 2H,West Lafayette,US,-86.90786,Taco Bell,IN
212 Thomas Rd,West Monroe,US,-92.15776,Taco Bell,LA
425C N Davis Ave,Cleveland,US,-90.71587,Domino's Pizza,MS
1139 W Pearce Blvd,Wentzville,US,-90.871981,Taco Bell,MO
17971 SW McEwan Rd,Portland,US,-122.747032,Burger King,OR
3830 SE 82nd Ave,Portland,US,-122.578286,Burger King,OR
6 Taunton St,Plainville,US,-71.30556,Burger King,MA
1001 Westbank Expy,Westwego,US,-90.1423,Taco Bell,LA
759 S 10th St,Williamsburg,US,-84.16553,Taco Bell,KY
1837 E 3rd St,Williamsport,US,-76.96618,Taco Bell,PA
1319 Bench Rd,Pocatello,US,-112.433434,Burger King,ID
2900 Brownsville Rd,Pittsburgh,US,-79.977038,Burger King,PA
47 Kinman Ln,Carrollton,US,-85.12558,Taco Bell,KY
2510 E Cedar St,Rawlins,US,-107.20923,Burger King,WY
108 9th Avenue Cir S,Princeton,US,-93.58688,Burger King,MN
84 Main St,Cassville,US,-93.8714,Taco Bell,MO
6023 University Ave,Cedar Falls,US,-92.43069,Taco Bell,IA
4400 Central Pl,Fairfield,US,-122.1264,McDonald's,CA
2792 North Highway 18,Fort Stockton,US,-102.8841,Burger King,TX
1079 N Morton St,Franklin,US,-86.06367,Burger King,IN
150 W Washington,Freeland,US,-84.12482,Burger King,MI
412 South St,Front Royal,US,-78.18787,Burger King,VA
4805 Avenue O,Fort Madison,US,-91.374393,Burger King,IA
230 W Bridge St,Oswego,US,-76.52607,McDonald's,NY
1620 N State St,Greenfield,US,-85.769857,Burger King,IN
4308 Highway 66 S,Rogersville,US,-83.016006,Pal's Sudden Service,TN
2752 Hwy 50 South,Grand Junction,US,-108.54112,Burger King,CO
410 Pearl St NW,Grand Rapids,US,-85.679417,Burger King,MI
31 44th St SW,Grandville,US,-85.782717,Burger King,MI
34 Broadview Ave,Warrenton,US,-77.80804,Burger King,VA
21 W Main St,Ventura,US,-119.301068,Burger King,CA
131 Genesee St,Oneida,US,-75.6432,Wendy's,NY
625 E Ridge Rd,Rochester,US,-77.6007,Burger King,NY
212 Genesee St,Oneida,US,-75.6454,Burger King,NY
2000 Rt 35,Asbury Park,US,-74.0425,McDonald's,NJ
1201 N Berkeley Blvd,Goldsboro,US,-77.932916,Chick-fil-A,NC
2050 State Rte 60 E,Valrico,US,-82.2532,McDonald's,FL
1322 W Grantham St,Goldsboro,US,-78.01687,Hardee's,NC
664 E Main St,Franklin,US,-83.37137,McDonald's,NC
130 Westgate Plz,Franklin,US,-83.40051,Burger King,NC
15 Allman Dr,Franklin,US,-83.391,Arby's,NC
917 Georgia Road,Franklin,US,-83.392228,Bojangles' Famous Chicken 'n Biscuits,NC
161 Route 73 S,Marlton,US,-74.9303,Five Guys,NJ
714 W Petree Road,Anadarko,US,-98.2551,McDonald's,OK
1339 Broad Street,Bloomfield,US,-74.181,McDonald's,NJ
830 S Madison Blvd,Bartlesville,US,-95.91728,Pizza Hut,OK
415 N. Mississippi,Ada,US,-96.6702,SONIC Drive In,OK
818 N Country Club Rd,Ada,US,-96.65208,McDonald's,OK
400 N Mississippi Ave,Ada,US,-96.66958,Arby's,OK
2935 E Frank Phillips Blvd,Bartlesville,US,-95.945803,Arby's,OK
606 Se Washington Blvd,Bartlesville,US,-95.9345,McDonald's,OK
3425 E Frank Phillips Blvd,Bartlesville,US,-95.939,Wendy's,OK
1104 W 2nd St,Chico,US,-121.850258,Burger King,CA
395 Oro Dam Blvd E,Oroville,US,-121.57241,Wendy's,CA
8937 Rancho Del Rio Drive,New Port Richey,US,-82.6665,McDonald's,FL
400 Joseph Gallo Ct,Livingston,US,-120.736552,Jack in the Box,CA
1100 S Mississippi,Atoka,US,-96.1352,McDonald's,OK
908 Arlington Ctr,Ada,US,-96.6493,Domino's Pizza,OK
1923 Hwy 50 E,Carson City,US,-119.7467,El Pollo Loco,NV
1002 Memorial Drive,Marietta,US,-97.128,Sonic Drive-In,OK
8050 Dean Martin Drive,Las Vegas,US,-115.1872,Taco Time,NV
616 Broad St,Elyria,US,-82.110575,Burger King,OH
2391 Mission St,Santa Cruz,US,-122.04805,Domino's Pizza,CA
500 Leavitt Rd,Amherst,US,-82.2101,McDonald's,OH
1071 S Toledo Blade Blvd,North Port,US,-82.1557,Burger King,FL
13939 Euclid Ave,Cleveland,US,-81.5858,Wendy's,OH
550 N Center St,Lagrange,US,-82.119717,McDonald's,OH
86 N Main St,Saint Albans,US,-73.08328,SUBWAY,VT
539 Steinwehr Ave,Gettysburg,US,-77.23639,KFC,PA
430 N Queen St,Littlestown,US,-77.093895,McDonald's,PA
133 Blakely Rd,Colchester,US,-73.21404,Subway,VT
595 South St,Warren,US,-80.8101,McDonald's,OH
198 W Lincoln Ave,Myerstown,US,-76.310539,Hardee's,PA
710 E Cumberland St,Lebanon,US,-76.3985,Burger King,PA
480 N Venice By-Pass,Venice,US,-82.4385,McDonald's,FL
2405 Riverside Ave,Paso Robles,US,-120.6885,KFC,CA
1902 Leesburg Grove City Road,Grove City,US,-80.158,McDonald's,PA
141 Niblick Rd,Paso Robles,US,-120.6829,Wendy's,CA
1208 E Grand Ave,Arroyo Grande,US,-120.6008,Jack in the Box,CA
3629 Ohio 5,Cortland,US,-80.7327,Mcdonalds,OH
600 S High St,Cortland,US,-80.7307,Burger King,OH
25666 Northwest Freeway,Cypress,US,-95.6904,McDonald's,TX
9460 W Sam Houston Pkwy S,Houston,US,-95.56073,McDonald's,TX
1107 24th St,Paso Robles,US,-120.688,Taco Bell,CA
960 Schuylkill Mall,Frackville,US,-76.23731,McDonald's,PA
9000 W Front Rd,Atascadero,US,-120.654,Jack in the Box,CA
180 N Memorial Hwy,Shavertown,US,-75.9424,Mc Donald's,PA
2014 State Route 53,Fremont,US,-83.118,McDonalds,OH
204 W Adams Ave,Temple,US,-97.34282,Jack in the Box,TX
1400 Lowes Blvd,Killeen,US,-97.72917,McDonald's,TX
1892 E State St,Salem,US,-80.83379,McDonalds,OH
7800 Sr 45,Lisbon,US,-80.7751,McDonald's,OH
300 28th St,Bellaire,US,-80.74575,McDonald's,OH
155 Emily Dr,Clarksburg,US,-80.2805,KFC,WV
5 Harman Ave,Grafton,US,-80.003115,McDonald's,WV
1067 N Bridge,Chillicothe,US,-82.9757,McDonald's,OH
5015 North Memorial Pkwy,Huntsville,US,-86.578026,Bojangles' Famous Chicken 'n Biscuits,AL
1316 Hwy 72 East,Athens,US,-86.944886,Bojangles' Famous Chicken 'n Biscuits,AL
1918 2nd Ave W,Williston,US,-103.62554,Subway,ND
1627 Broadway St N,Menomonie,US,-91.9321,Wendy's,WI
1505 N Broadway,Menomonie,US,-91.9325,McDonalds,WI
1717 Broadway St N,Menomonie,US,-91.9328,Arby's,WI
2561 Northlake Blvd,West Palm Beach,US,-80.0738,KFC,FL
8701 Memorial Blvd,Port Arthur,US,-93.99538,Chick-Fil-A,TX
1714 W State Route 18,Tiffin,US,-83.2036,McDonald's,OH
620 N Countyline St,Fostoria,US,-83.42052,McDonald's,OH
3400 E Main St,Merrill,US,-89.6515,McDonalds,WI
2058 National Rd,Wheeling,US,-80.664326,Arby's,WV
1330 Stout Rd,Menomonie,US,-91.914096,Culver's,WI
855 National Rd,Wheeling,US,-80.695,Hardee's,WV
775 W Johnson St,Fond Du Lac,US,-88.464986,Hardee's,WI
85 N Miller Drive,Sunbury,US,-82.8681,McDonald's,OH
166 Mansfield Ave,Shelby,US,-82.645239,Wendy's,OH
151 Mansfield Ave,Shelby,US,-82.647116,McDonald's,OH
25 W Hanley Rd,Mansfield,US,-82.511731,McDonald's,OH
666 Lexington Springmill Rd,Mansfield,US,-82.58999,McDonald's,OH
1281 Valley Rd,Menasha,US,-88.42341,McDonald's,WI
3800 Emerson Ave,Parkersburg,US,-81.531716,Wendy's,WV
600 Grand Central Ave,Vienna,US,-81.55042,Taco Bell,WV
4915 E Interstate 20 Service Rd N,Weatherford,US,-97.64231,Whataburger,TX
14 Elm Grove Crossing Mall,Wheeling,US,-80.6539,Subway,WV
961 National Rd,Wheeling,US,-80.6904,Subway,WV
120 Zane St,Wheeling,US,-80.7345,KFC,WV
1004 N Loop 340,Waco,US,-97.1042,Wendy's,TX
2700 E DuPont Ave,Belle,US,-81.5047,McDonald's,WV
715 W Capital Auto Mall Expy,San Jose,US,-121.8653,McDonald's,CA
4916 W 6200 S,Salt Lake City,US,-112.00837,TacoTime,UT
301 S Fairway Dr,Kanab,US,-112.51349,Wendy's,UT
687 W Price River Dr,Price,US,-110.82264,Wendy's,UT
680 E Central Ave,Dayton,US,-84.2438,KFC,OH
549 S Main,Ephraim,US,-111.5876,McDonald's,UT
2561 Campus Dr,Klamath Falls,US,-121.789862,Burger King,OR
2150 S 6th St,Klamath Falls,US,-121.76411,Wendy's,OR
2759 S 6th St,Klamath Falls,US,-121.755088,Arby's,OR
2481 Campus Dr,Klamath Falls,US,-121.790462,McDonald's,OR
50 Dover Crossing,Clarksville,US,-87.398,Sonic Drive-In,TN
6031 Muhlhauser Rd,West Chester,US,-84.42818,Burger King,OH
144 W Brigham Rd,Saint George,US,-113.5859,Wendy's,UT
1279 E 100 S,Saint George,US,-113.5561,Five Guys,UT
1235 S Bluff,Saint George,US,-113.5844,McDonald's,UT
1911 W Sunset Blvd,Saint George,US,-113.62421,McDonald's,UT
1838 W Sunset Blvd,Saint George,US,-113.623076,Wendy's,UT
136 Red Cliffs Dr,Saint George,US,-113.553321,Carl's Jr.,UT
798 E Saint George Blvd,Saint George,US,-113.56661,McDonald's,UT
3001 Bastogne Avenue,Fort Campbell,US,-87.453749,Taco Bell,KY
2475 W Wheeler,Aransas Pass,US,-97.1756,McDonald's,TX
1555 W Galbraith Rd,Cincinnati,US,-84.545924,Burger King,OH
4868 Houston Rd,Florence,US,-84.628729,Burger King,KY
605 W Central Ave,Springboro,US,-84.255956,Burger King,OH
5120 Delhi Ave,Cincinnati,US,-84.613747,Burger King,OH
14 Carothers Rd,Newport,US,-84.478213,Burger King,KY
8549 Winton Rd,Cincinnati,US,-84.517544,Burger King,OH
3432 Madison Pike,Ft Mitchell,US,-84.53318,Burger King,KY
1415 N Ed Carey Dr,Harlingen,US,-97.6751,Wendy's,TX
1605 W Harrison Ave,Harlingen,US,-97.71322,Whataburger,TX
200 Kingmont Rd,Fairmont,US,-80.16758,Quiznos,WV
1522 E Harrison Ave,Harlingen,US,-97.67943,Whataburger,TX
949 E Park Ave,Fairmont,US,-80.1217,Wendy's,WV
23 Southland Dr,Fairmont,US,-80.18518,Arby's,WV
808 Fairmont Ave,Fairmont,US,-80.15172,Burger King,WV
2502 Fairmont Ave,Fairmont,US,-80.1842,Hardee's,WV
200 Main St E,Oak Hill,US,-81.1477,Wendy's,WV
1317 2nd Ave W,Williston,US,-103.625752,Pizza Hut,ND
30 Carothers Rd,Newport,US,-84.480558,Taco Bell,KY
1810 2Nd Ave W,Williston,US,-103.625753,Pizza Hut,ND
2222 2nd Ave W,Williston,US,-103.625,McDonald's,ND
1020 2nd Ave W,Williston,US,-103.625735,Hardee's,ND
521 Main St,Williston,US,-103.62257,Domino's Pizza,ND
1107 Second Ave W,Williston,US,-103.626381,Arby's,ND
60 N 4th St,Sunbury,US,-76.790584,Burger King,PA
33 E Independence St,Shamokin,US,-76.55648,Wendy's,PA
35 Bound Ave,Milton,US,-76.853877,McDonald's,PA
513 N Alamo Rd,Alamo,US,-98.121353,Whataburger,TX
201 E Griffin Pkwy,Mission,US,-98.3218,Whataburger,TX
2120 N Roosevelt Blvd,Key West,US,-81.780278,Burger King,FL
6531 Winton Rd,Cincinnati,US,-84.521707,Gold Star Chili,OH
40 Martha Layne Collins Blvd,Newport,US,-84.45144,Gold Star Chili,KY
4534 E US Highway 83,Rio Grande City,US,-98.7916,Burger King,TX
106 Old Fayette Rd,Oak Hill,US,-81.12847,Domino's Pizza,WV
570 Fayette Town Center Road,Fayetteville,US,-81.12213,Arby's,WV
902 S Main St,Brigham City,US,-112.01667,McDonald's,UT
2300 W Main St,Tremonton,US,-112.20044,McDonald's,UT
715 S Main St,Brigham City,US,-112.01561,Wendy's,UT
774 South Main Street,Brigham City,US,-112.016589,Arby's,UT
516 N Wood St,Gilmer,US,-94.94274,Jack In The Box,TX
5991 Carlton Dr,Burlington,US,-84.7146,Subway,KY
470 Nilles Rd,Fairfield,US,-84.563654,Gold Star Chili,OH
2170 Monterey Hwy,San Jose,US,-121.861345,Burger King,CA
1695 E Kemper Rd,Cincinnati,US,-84.444467,McDonald's,OH
560 N High St,Mount Orab,US,-83.91978,McDonald's,OH
2088 Declaration Dr,Independence,US,-84.5453,McDonald's,KY
10 Blackburn Rd,Dry Ridge,US,-84.6001,McDonald's,KY
33 Donnermeyer Dr,Bellevue,US,-84.482277,Lee's Famous Recipe Chicken,KY
6016 S State Route 48,Maineville,US,-84.21777,Skyline Chili,OH
5188 Pleasant Ave,Fairfield,US,-84.5595,KFC,OH
850 Eastgate South Dr,Cincinnati,US,-84.2644,KFC,OH
1215 East Columbus Street,Kenton,US,-83.583194,Arby's,OH
7331 Kenwood Rd,Cincinnati,US,-84.38105,Burger King,OH
937 N Center St,Somerset,US,-79.0787,McDonald's,PA
725 W 1200 S Ste C,Brigham City,US,-112.02783,Domino's Pizza,UT
109 Lewis Drive,Somerset,US,-79.081813,Arby's,PA
2761 Jensen Ave,Sanger,US,-119.57706,McDonald's,CA
2000 Hwy 20,Sweet Home,US,-122.7203,McDonald's,OR
1120 W Highway 40,Vernal,US,-109.550556,Wendy's,UT
10558 Loveland Madeira Rd,Loveland,US,-84.2963,Burger King,OH
11400 Dallas Blvd,Cincinnati,US,-84.56519,Wendy's,OH
10170 Colerain Ave,Cincinnati,US,-84.60207,Burger King,OH
653 E 9400 S,Sandy,US,-111.8738,KFC,UT
4926 W 6200 S,Salt Lake City,US,-112.00867,Subway,UT
1035 Dunlawton Ave,Port Orange,US,-81.006,KFC,FL
3470 S Redwood Rd,Salt Lake City,US,-111.93958,Burger King,UT
10391 S State St,Sandy,US,-111.8908,Five Guys,UT
1430 S Foothill Dr,Salt Lake City,US,-111.8261,Domino's Pizza,UT
1842 Sr 44,New Smyrna Beach,US,-80.9433,McDonald's,FL
3291 W Broward Blvd,Fort Lauderdale,US,-80.1893,Popeyes Chicken and Biscuits,FL
723 E St,Marysville,US,-121.5907,Burger King,CA
689 N Lexington Springmill Rd,Mansfield,US,-82.590942,Arby's,OH
104 Epley Road,Newport,US,-83.211895,Bojangles' Famous Chicken 'n Biscuits,TN
"3 Main St, #1",Delhi,US,-74.92205,McDonald's,NY
1160 Wall Ave,Ogden,US,-111.9779,Del Taco,UT
3685 Harrison Blvd,Ogden,US,-111.949,Jimmy John's,UT
2378 Kiesel Ave,Ogden,US,-111.9718,Subway,UT
1350 S State St,Clearfield,US,-112.00631,Wendy's,UT
1111 Washington Blvd,Ogden,US,-111.97017,McDonald's,UT
5710 Harrison Blvd,Ogden,US,-111.9391,Wendy's,UT
4740 Harrison Blvd,Ogden,US,-111.948732,Arby's,UT
929 Chambers St,Ogden,US,-111.9622,Arctic Circle,UT
2584 N Susquehanna Trail,Shamokin Dam,US,-76.8271,McDonald's,PA
1171 S 500 W,Bountiful,US,-111.89176,Domino's Pizza,UT
1735 E Skyline Dr Ste 1,Ogden,US,-111.93647,Domino's Pizza,UT
331 Patteson Dr,Morgantown,US,-79.972138,Arby's,WV
4250 Harrison Blvd,Ogden,US,-111.94887,Subway,UT
17067 Pines Blvd,Hollywood,US,-80.374868,Burger King,FL
5 Clear Mountain Way,Morgantown,US,-79.9246,KFC,WV
1101 N Susquehanna Trl,Selinsgrove,US,-76.845007,Taco Bell,PA
529 E 1000 N,Spanish Fork,US,-111.646,Five Guys,UT
1416 W 6th St,The Dalles,US,-121.20364,Burger King,OR
887 E 100 N Ste 4,Payson,US,-111.71787,Domino's Pizza,UT
1015 1st St,Coos Bay,US,-124.212504,Taco Bell,OR
140 Park Dr,Weirton,US,-80.55033,Bob Evans,WV
1994 Sutton Lane,Sutton,US,-80.663555,Taco Bell,WV
1990 Sutton Ln,Sutton,US,-80.66326,McDonald's,WV
784 Virginia Ave,Welch,US,-81.57526,McDonald's,WV
221 Electric Ave,Lewistown,US,-77.56738,KFC,PA
133 S Main St,Lewistown,US,-77.57216,Burger King,PA
33 N Derr Dr,Lewisburg,US,-76.8926,KFC,PA
635 N Derr Dr,Lewisburg,US,-76.89346,Wendy's,PA
310 N Derr Dr,Lewisburg,US,-76.89196,Burger King,PA
25 E Chestnut St,Mifflinburg,US,-77.035668,McDonald's,PA
7379 Westbranch Hwy,Lewisburg,US,-76.885264,McDonald's,PA
12776 Deshler Rd,North Baltimore,US,-83.637734,McDonald's,OH
802 Front St,Toledo,US,-83.521447,Burger King,OH
225 S Roosevelt Dr,Seaside,US,-123.92045,McDonald's,OR
33 S Reynolds Rd,Toledo,US,-83.664541,Burger King,OH
"20968 Southbank St, # H-1",Sterling,US,-77.3977,Baja Fresh,VA
101 N Trading Center Ter,Mustang,US,-97.7218,McDonald's,OK
2208 Pratt Ave,Bellevue,US,-95.94483,Don & Millie's,NE
305 E Betteravia Rd,Santa Maria,US,-120.4325,El Pollo Loco,CA
329 2nd St,Williamsburg,US,-76.6832,McDonald's,VA
2208 Cunningham Dr,Hampton,US,-76.392003,Burger King,VA
2739 Maple Ave,Zanesville,US,-82.01162,McDonald's,OH
2160 Maple Ave,Zanesville,US,-82.0096,KFC,OH
7105 S May Ave,Oklahoma City,US,-97.56609,Waffle House,OK
101 E Main St,Cut Bank,US,-112.330932,Subway,MT
901 Bluefield Ave,Bluefield,US,-81.2357,Hardee's,WV
301 W Broaddus Ave,Bowling Green,US,-77.356995,McDonald's,VA
723 E Main St,Cushing,US,-96.7641,KFC,OK
2643 Front St,Richlands,US,-81.810756,Wendy's,VA
2647 Front St,Richlands,US,-81.81039,Burger King,VA
4240 Pouncey Tract Rd,Glen Allen,US,-77.611933,Burger King,VA
898 Nova Road,Daytona Beach,US,-81.0489,Checkers,FL
100 W Trower,Mannford,US,-96.3549,Sonic Drive-In,OK
611 Sidney Baker St,Kerrville,US,-99.1383,Burger King,TX
559 James Madison Hwy,Culpeper,US,-77.994983,Taco Bell,VA
709 James Madison Hwy,Culpeper,US,-77.978551,Arby's,VA
3811 S Nova Rd,Port Orange,US,-81.004535,Burger King,FL
3144 Indiana Ave,Vicksburg,US,-90.8585,KFC,AL
3418 S Atlantic Ave,Daytona Beach,US,-80.9697,Burger King,FL
100 Mall Rd,Covington,US,-79.9673,McDonald's,VA
1410 Durant St,Covington,US,-79.9919,Arby's,VA
1310 S Craig Ave,Covington,US,-79.99123,Wendy's,VA
810 S Craig Ave,Covington,US,-79.9912,KFC,VA
Route 29 South,Madison Heights,US,-79.0755,Hardee's,VA
2980 Main Street,Newberry,US,-81.591514,Bojangles' Famous Chicken 'n Biscuits,SC
1400 Mill St,Belle Fourche,US,-103.85498,Subway,SD
2504 5th Ave,Belle Fourche,US,-103.8574,Hardee's,SD
126 S Front Street,Chamberlain,US,-99.3359,Taco John's,SD
513 S Park Dr,Broken Bow,US,-94.73898,McDonald's,OK
709 S Park Dr,Broken Bow,US,-94.73905,Arby's,OK
6065 Peters Creek Road,Roanoke,US,-79.96856,Bojangles' Famous Chicken 'n Biscuits,VA
1474 N High St,Hillsboro,US,-83.6104,McDonald's,OH
900 N High St,Hillsboro,US,-83.60817,Wendy's,OH
1220 W Will Rogers Blvd,Claremore,US,-95.62493,McDonald's,OK
200 W 4th Ave,Bristow,US,-96.3934,KFC,OK
2635 NW Cache Rd,Lawton,US,-98.43254,Burger King,OK
4360 New York 42,Monticello,US,-74.6745,McDonald's,NY
19 Post Rd,Westerly,US,-71.804727,Wendy's,RI
4022 Factoria Blvd SE,Bellevue,US,-122.169367,Old Country Buffet,WA
2921 Decker Drive,Rice Lake,US,-91.7532,Arby's,WI
433 Division St,Stevens Point,US,-89.57445,Taco Bell,WI
3115 Church Street,Stevens Point,US,-89.5671,Arby's,WI
1580 S Main St,Mansfield,US,-77.0714,Wendy's,PA
1672 S Main St,Mansfield,US,-77.07171,Arby's,PA
1320 S Main St,Mansfield,US,-77.07019,Taco Bell,PA
2900 Philadelphia Ave,Ocean City,US,-75.07419,Tommy's Sub Shop,MD
1386 Fordham Dr,Virginia Beach,US,-76.17752,Burger King,VA
4756 S Highland Dr,Salt Lake City,US,-111.83951,Domino's Pizza,UT
7530 W Clearwater Ave,Kennewick,US,-119.22358,Jimmy John's,WA
7494 Webb Dr,Gainesville,US,-77.6289,Roy Rogers,VA
900 E Loop 304,Crockett,US,-95.4402,Taco Bell,TX
1014 Main Street,Tuba City,US,-111.239365,Taco Bell,AZ
7453 Valley Pike,Middletown,US,-78.27072,McDonald's,VA
150 Holt Garrison Parkway,Danville,US,-79.4171,Sonic Drive-In,VA
7099 11th St N,Saint Paul,US,-92.968124,Hardee's,MN
29840 Santa Margarita Pkwy,Rancho Santa Margarita,US,-117.6138,KFC,CA
5260 N Port Washington Rd,Milwaukee,US,-87.916195,Arby's,WI
4620 S Redwood Rd,Salt Lake City,US,-111.93904,Del Taco,UT
1475 Concord Pkwy N,Concord,US,-80.6051,Chick-fil-A,NC
227 128th St SW,Everett,US,-122.2372,KFC,WA
1100 Route 9 South,Old Bridge,US,-74.29858,KFC,NJ
6712 Forest Hill Blvd,West Palm Beach,US,-80.1492,KFC,FL
